source,nct_id,brief_title,overall_status,start_date,study_type,conditions
ClinicalTrials.gov API,NCT06013852,Boneview-ED - Impact of Artificial Intelligence Detecting Fractures in the Emergence Department : a Pragmatic Prospective Study,RECRUITING,2024-07-22,INTERVENTIONAL,"Fractures, Bone"
ClinicalTrials.gov API,NCT07167043,An Explainable Neuroradiologist Artificial Intelligence Assistance System for Brain CT and MRI,ENROLLING_BY_INVITATION,2025-05-01,OBSERVATIONAL,Central Nervous System Disease; MRI; CT; AI (Artificial Intelligence); Radiology
ClinicalTrials.gov API,NCT06351943,Proximal Femur Image Database Validation,UNKNOWN,2021-05-01,OBSERVATIONAL,Proximal Femoral Fracture
ClinicalTrials.gov API,NCT06016608,An Imaging Study of Polyvascular Disease,RECRUITING,2023-10-18,OBSERVATIONAL,Polyvascular Disease
ClinicalTrials.gov API,NCT04846933,"Multi-layer Data to Improve Diagnosis, Predict Therapy Resistance and Suggest Targeted Therapies in HGSOC",RECRUITING,2012-02-01,INTERVENTIONAL,High Grade Ovarian Serous Adenocarcinoma; High Grade Serous Carcinoma
ClinicalTrials.gov API,NCT06703112,Establishment and Clinical Application of AI-based Multimodal Diagnosis System for Ovarian Tumors,NOT_YET_RECRUITING,2025-06-01,INTERVENTIONAL,Ovarian Tumors
ClinicalTrials.gov API,NCT01465100,Liver Cell Transplant for Phenylketonuria,TERMINATED,2011-10-12,INTERVENTIONAL,Phenylketonuria
ClinicalTrials.gov API,NCT06754137,Assessing AI-Supported Fracture Detection in Emergency Care Units,RECRUITING,2025-03-31,INTERVENTIONAL,"Fractures, Bone; Effusion Joint; Bone Lesion; Dislocation"
ClinicalTrials.gov API,NCT07068139,AI-Based Prediction of Stage and Survival in Non-Small Cell Lung Cancer: A Retrospective Study,ACTIVE_NOT_RECRUITING,2010-01-01,OBSERVATIONAL,Non-Small Cell Lung Cancer; Artificial Intelligence (AI) in Diagnosis
ClinicalTrials.gov API,NCT05390684,Predictive Model to Early Diagnosis of Anastomotic Leak After Esophagectomy and Gastrectomy.,UNKNOWN,2022-05-01,OBSERVATIONAL,"Esophagus Cancer; Gastric Cancer; Leak, Anastomotic; Complication"
ClinicalTrials.gov API,NCT06044454,Radiograph Accelerated Detection and Identification of Cancer in the Lung,ACTIVE_NOT_RECRUITING,2023-12-04,OBSERVATIONAL,Lung Cancer
ClinicalTrials.gov API,NCT06456203,Trial of Artificial Intelligence for Chest Radiography,NOT_YET_RECRUITING,2024-10,INTERVENTIONAL,Pneumonia; Lung Cancer
ClinicalTrials.gov API,NCT07509697,Artificial Intelligence-Based Evaluation of Chest X-Rays in Ventilator-Associated Pneumonia,COMPLETED,2026-03-01,OBSERVATIONAL,"Ventilator-Associated Pneumonia; Intensive Care Unit (ICU); Pneumonia, Bacterial; Artificial Intelligence (AI); Radiography, Thoracic"
ClinicalTrials.gov API,NCT05594485,Retrospective Study of Carebot AI CXR Performance in Preclinical Practice,COMPLETED,2022-08-15,OBSERVATIONAL,Artificial Intelligence; Lung Diseases; Pneumothorax; Pleural Effusion; Cardiomegaly; Lung Cancer; Pulmonary Edema; Consolidation; Pneumonia; Atelectasis; Hilar Calcification; Fracture Rib
ClinicalTrials.gov API,NCT06874647,Chest X-Ray Image Diagnosis and Report Generation Dedicated Model Based on Deepseek,COMPLETED,2025-03-10,OBSERVATIONAL,Radiology; Artificial Intellegence; Large Language Model; Chest X-ray for Clinical Evaluation
ClinicalTrials.gov API,NCT06463756,AI Models to Predict Thyroid Cartilage Invasion in Laryngeal Carcinoma,RECRUITING,2023-08-13,OBSERVATIONAL,Laryngeal Carcinoma; Thyroid Cartilage
ClinicalTrials.gov API,NCT07491055,Wide-Angle Tomosynthesis and AI in Diagnostic Mammography,NOT_YET_RECRUITING,2026-04-01,OBSERVATIONAL,Breast Neoplasms Diagnosis; Brest Cancer
ClinicalTrials.gov API,NCT06036394,Artificial Intelligence in CNS Radiation Oncology,RECRUITING,2023-09-13,OBSERVATIONAL,CNS Tumor
